School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL,SuggestedAuctionValue,LeagifyPosition,ProjectedPointsAboveAverage,ProjectedPointsAboveReplacement,AveragePointsForPosition,ReplacementValueAverageForPosition
Tulsa,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/wgzu6axcvmbdijfdtvgsntkc4ylf,,Flex,-30.15,-9,32.16,11
Florida Atlantic,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/e9smljtyny48n1ccwc5zdjruxo4l,,Flex,-30.15,-9,32.16,11
Oklahoma State,Big 12,2,2,https://d9ioojyvhqpok.cloudfront.net/qwfc4f82m2rngln7rguecgcdanch,,Big 12,-60.66,-22,62.66,24
Massachusetts,FBS - MAC,2,2,https://d9ioojyvhqpok.cloudfront.net/enpjhipf6zrlbpox3c368n4k7ugr,,Flex,-30.15,-9,32.16,11
Bowling Green,FBS - MAC,2,2,https://d9ioojyvhqpok.cloudfront.net/khecbhkwna27ftfkqu57arc897zj,,Flex,-30.15,-9,32.16,11
Central Michigan,FBS - MAC,2,1,,,Flex,-30.15,-9,32.16,11
Nigeria,D3,1,1,,,Flex,-31.15,-10,32.16,11
Southern Miss,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/vljaktb9bwwnrs8vbsz5zjiehzbg,,Flex,-31.15,-10,32.16,11
Dartmouth,FCS,1,1,,,Flex,-31.15,-10,32.16,11
Florida International,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/8fqmtiyqj379vsr6f5ydwddhqd57,,Flex,-31.15,-10,32.16,11
South Carolina State,FCS,1,1,,,Flex,-31.15,-10,32.16,11
Rhode Island,FCS,1,1,,,Flex,-31.15,-10,32.16,11
Slippery Rock,D2,1,1,,,Flex,-31.15,-10,32.16,11
Western Kentucky,FBS - CUSA,1,1,,,Flex,-31.15,-10,32.16,11
Montana,FCS,1,1,,,Flex,-31.15,-10,32.16,11
William & Mary,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/cvw607y4kd4abt1omhz4rfw3pqtt,,Flex,-31.15,-10,32.16,11
Kenya,D3,1,1,,,Flex,-31.15,-10,32.16,11
Hawaii,FBS - Mountain West,1,1,,,Flex,-31.15,-10,32.16,11
Virginia Union,D2,1,1,,,Flex,-31.15,-10,32.16,11
Louisiana Tech,FBS - CUSA,1,1,,,Flex,-31.15,-10,32.16,11
West Alabama,D2,1,1,,,Flex,-31.15,-10,32.16,11
Charlotte,FBS - AAC,1,1,https://d9ioojyvhqpok.cloudfront.net/f48xuaazydxqnl9pulwp0n9b2w56,,Flex,-31.15,-10,32.16,11
Western Illinois,FCS,1,1,,,Flex,-31.15,-10,32.16,11
McNeese State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/cs0519lwtta2crm3dm4sp0ojta31,,Flex,-31.15,-10,32.16,11
Delaware State,FCS,1,1,,,Flex,-31.15,-10,32.16,11
UAB,FBS - AAC,1,1,https://d9ioojyvhqpok.cloudfront.net/358rqeeze9m7p9m4bmnrwml1w5ml,,Flex,-31.15,-10,32.16,11
Akron,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/yvu5t7whomsw1iosdwm8fawpi5qj,,Flex,-31.15,-10,32.16,11
Sacramento State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/1d7nzf0sk6cd8sgcstgisghgthvu,,Flex,-31.15,-10,32.16,11
Nicholls State,FCS,1,1,,,Flex,-31.15,-10,32.16,11
Georgia Southern,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/z7ccax7spksvxiv6giffmqhao46a,,Flex,-31.15,-10,32.16,11
San Jose State,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/ro1xx56e4z8uwuoba0lxm44zanow,,Flex,-31.15,-10,32.16,11
South Dakota State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/j1h4ym5rvem469nmw166um7w8yyd,,Flex,-31.15,-10,32.16,11
North Dakota,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/7we66inumbdffyzpr98g8bbet7p3,,Flex,-31.15,-10,32.16,11
New Mexico State,FBS - CUSA,1,1,,,Flex,-31.15,-10,32.16,11
Arkansas State,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/0y0q70b747itik24akazpunl090f,,Flex,-31.15,-10,32.16,11
UT Martin,FCS,1,1,,,Flex,-31.15,-10,32.16,11
Cal Poly,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/fmuftfu5qfjqres1wr2dy5ii7wf9,,Flex,-31.15,-10,32.16,11
Appalachian State,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/3lp6eio7dartb77wqwr0xl2lpzch,,Flex,-31.15,-10,32.16,11
Sam Houston State,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/griwt4t7qd18gfqw83vljfjsp3g9,,Flex,-31.15,-10,32.16,11
Northern Illinois,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/i2l5ye5l6hfr8us7xn0wmo3g43dj,,Flex,-31.15,-10,32.16,11
Old Dominion,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/1s9b5cfewfr4a3dkyu0cttf7ln1v,,Flex,-31.15,-10,32.16,11
Florida A&M,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/c25jnf7optvztomz5p0n79uu6x9t,,Flex,-31.15,-10,32.16,11
Virginia State,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/wm2lvh7f72qagwvyazia4070pm71,,Flex,-31.15,-10,32.16,11
UC Davis,FCS,1,1,,,Flex,-31.15,-10,32.16,11
Air Force,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/p6wau30d9gwh6hgun9zh6dqb6i3y,,Flex,-31.15,-10,32.16,11
Abilene Christian,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/h56roel3p7yjm390npx8lbrlq0fk,,Flex,-31.15,-10,32.16,11
North Texas,FBS - AAC,1,1,,,Flex,-31.15,-10,32.16,11
East Tennessee State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/t9ivu93hmr1fljhj12unw9r7f2bs,,Flex,-31.15,-10,32.16,11
